p1_hp_pct,p1_alive,p2_hp_pct,p2_alive,p1_won
0.6411,4,0.5439,4,0
0.5483,4,0.5105,4,0
0.5483,4,0.5047,4,0
0.5017,3,0.4351,4,0
0.3511,2,0.4105,4,0
0.2206,2,0.3918,4,0
0.145,1,0.3579,3,0
0.0178,1,0.352,2,0
0.0,0,0.245,2,0
0.8658,5,0.9198,6,1
0.7055,5,0.7996,6,1
0.6807,4,0.7729,5,1
0.6406,4,0.626,4,1
0.493,4,0.5426,4,1
0.4892,3,0.4593,4,1
0.4294,3,0.4536,3,1
0.4008,3,0.3066,2,1
0.3893,3,0.1533,1,1
0.3206,3,0.0967,1,1
0.3104,2,0.0706,1,1
0.2309,2,0.0,0,1
0.9094,6,0.9068,6,1
0.8657,6,0.8893,5,1
0.8657,6,0.8196,5,1
0.822,6,0.7535,4,1
0.8168,5,0.6789,4,1
0.7823,5,0.6177,3,1
0.7132,5,0.4013,3,1
0.6297,4,0.2966,2,1
0.4654,4,0.1969,2,1
0.4205,3,0.1508,1,1
0.3103,3,0.0902,1,1
0.2894,2,0.0125,1,1
0.2894,2,0.0,0,1
0.9442,6,0.8914,5,1
0.8737,6,0.805,5,1
0.8408,5,0.7186,5,1
0.8408,5,0.5675,5,1
0.6816,4,0.5628,4,1
0.6075,4,0.5526,3,1
0.5059,3,0.4717,3,1
0.4283,3,0.3752,3,1
0.3872,3,0.3495,2,1
0.3467,2,0.1626,1,1
0.3132,2,0.1626,1,1
0.2004,2,0.0,0,1
0.9552,6,0.9026,5,1
0.9552,6,0.8869,5,1
0.8844,6,0.8195,5,1
0.8201,5,0.752,5,1
0.7773,5,0.7112,4,1
0.737,5,0.5538,3,1
0.6442,4,0.3965,2,1
0.5143,4,0.3277,2,1
0.5006,3,0.2602,2,1
0.3981,3,0.2119,1,1
0.326,2,0.1649,1,1
0.2636,2,0.096,1,1
0.2013,2,0.0272,1,1
0.2013,2,0.0,0,1
0.9629,6,0.8137,5,1
0.8443,6,0.6431,4,1
0.8276,5,0.5255,4,1
0.8276,5,0.4007,3,1
0.7422,5,0.3314,3,1
0.6982,4,0.3229,2,1
0.6434,4,0.2046,1,1
0.5032,3,0.1614,1,1
0.4581,3,0.0856,1,1
0.413,3,0.0098,1,1
0.413,3,0.0,0,1
0.9558,6,0.9501,6,0
0.9116,6,0.9001,6,0
0.8674,6,0.8502,6,0
0.8437,5,0.8313,5,0
0.6958,4,0.6509,5,0
0.5932,4,0.6493,4,0
0.5358,4,0.6121,4,0
0.5216,3,0.5749,4,0
0.3884,3,0.5265,4,0
0.3789,2,0.5214,3,0
0.3011,2,0.4113,3,0
0.2258,1,0.3986,2,0
0.1468,1,0.2416,2,0
0.0679,1,0.2044,1,0
0.0,0,0.2044,1,0
0.9558,6,0.9502,6,1
0.9116,6,0.9005,6,1
0.895,6,0.881,5,1
0.8644,6,0.881,5,1
0.8284,6,0.781,4,1
0.7482,6,0.6806,4,1
0.7176,5,0.6479,3,1
0.648,5,0.6033,3,1
0.5979,4,0.5659,3,1
0.464,4,0.5237,3,1
0.4499,3,0.4583,3,1
0.3373,2,0.4389,2,1
0.3149,2,0.2829,2,1
0.2665,2,0.1351,1,1
0.1716,2,0.0242,1,1
0.1716,2,0.0,0,1
0.9759,6,0.9177,6,0
0.9517,6,0.8525,5,0
0.9517,6,0.8208,5,0
0.8762,6,0.7797,5,0
0.7791,6,0.7797,5,0
0.6776,5,0.7479,5,0
0.6151,4,0.7045,5,0
0.5179,4,0.6639,4,0
0.5179,4,0.5958,4,0
0.4907,3,0.5552,4,0
0.4338,3,0.5165,3,0
0.3416,2,0.4965,3,0
